id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52565677,Luxury Condo by the Water with CN tower view,37506810,George,,Mimico (includes Humber Bay Shores),43.62313,-79.48057,Entire home/apt,120,28,2,2022-10-28,0.18,1,90,2,
52404173,"Waterfront, Clean and Bright 2 bedroom in Toronto",408774719,Sara,,Mimico (includes Humber Bay Shores),43.62199,-79.48092,Entire home/apt,180,28,7,2022-11-02,0.57,1,147,6,STR-2109-HYPPHL
52566273,No Drama Llama Penthouse with Lake Views,9796268,Maria,,Niagara,43.636,-79.40176,Entire home/apt,221,2,20,2022-11-07,1.41,1,5,14,STR-2109-FSMHHC
52568282,Gorgeous Private Toronto Condo,59380567,Chris,,Downsview-Roding-CFB,43.72598,-79.47976,Entire home/apt,157,2,18,2022-11-27,1.29,1,171,10,STR-2110-FQCVHC
52408563,Renovated 4 bedroom house overlooking High Park,374310,Michael,,High Park-Swansea,43.64616,-79.47107,Entire home/apt,1200,28,8,2022-07-23,0.66,1,0,8,STR-2109-FJSBHB
52570558,"2BR+1.5 BA+ Free Parking - CN Tower, Ent. District",215855895,Harmanjit,,Waterfront Communities-The Island,43.64276,-79.38177,Entire home/apt,600,28,64,2022-11-13,4.55,1,76,53,STR-2205-GSXDVH
52408620,Whole 1bedroom Basement  GTA walk to subway & mall,420738130,Xiu,,Dovercourt-Wallace Emerson-Junction,43.66284942626953,-79.43635559082031,Entire home/apt,80,28,2,2022-11-15,0.16,7,365,1,
52571369,Cozy 1 Bedroom Suite with Free parking,413665750,Matthew & Brenda,,Glenfield-Jane Heights,43.73859,-79.52572,Entire home/apt,66,28,4,2022-11-07,0.32,1,319,3,
52410055,🎖Work-from-Home ✔ near Yonge Station ✔ Sanitized!,269243315,Alec & Lily,,Bay Street Corridor,43.667137,-79.385727,Entire home/apt,75,28,56,2022-11-30,3.83,50,42,40,STR-2105-FYRXVD
52410988,Cozy Guest Suite That Feels Like Home,141619127,Kateryna,,Alderwood,43.59212,-79.54622,Entire home/apt,73,28,0,,,1,250,0,
52571697,Lovely private room in North York Metro+P,268198275,Cindy,,Willowdale East,43.76908,-79.40061,Private room,50,28,11,2022-11-13,0.82,10,333,8,STR-2205-FPBXVC
52571876,Toronto’s Time square 3mins to subway restaurant+P,268198275,Cindy,,Willowdale East,43.76745,-79.39855,Private room,74,28,9,2022-10-16,0.67,10,347,5,STR-2205-FPBXVC
52411976,❶ The One Toronto Villa /w Amazing Indoor Pool,59534696,Fei,,Newtonbrook East,43.79847,-79.39506,Entire home/apt,1443,1,83,2022-11-25,5.90,1,247,70,STR-2109-GVLBHH
52571930,Safe and comfortable home in Toronto,270097528,Xiaoru,,Tam O'Shanter-Sullivan,43.793201,-79.290718,Private room,123,28,40,2022-11-23,2.97,1,81,34,STR-2109-GZTHHH
52420883,Wealthy neighborhoods near traffic center,191477669,Lawrwnce,,Newtonbrook West,43.784695,-79.426994,Private room,80,28,0,,,2,364,0,
52572363,Cheerful 3-Bedroom apt / Un charmant 3-chambre app,144831133,Peyman,,Newtonbrook West,43.78488,-79.43263,Entire home/apt,250,1,62,2022-09-27,4.48,1,169,55,STR-2110-GCFBHD
52572388,"Cozy, Convenient 2 Bedroom Apartment in Downtown",134969139,Natalie,,Palmerston-Little Italy,43.65479,-79.42387,Entire home/apt,246,28,59,2022-11-27,4.80,1,338,58,STR-2111-JCYDVM
52422076,"Bloor Street West Loft, Private BdRm 2, Shared Apt",74717901,Gabriella,,Islington-City Centre West,43.64275,-79.53903,Private room,39,28,6,2022-10-07,0.49,3,0,5,
52423071,Newly renovated suite BR and Living area (private),206135778,Mohamed,,Woburn,43.7637,-79.21059,Entire home/apt,88,28,10,2022-10-02,0.71,2,82,5,Str-2012-hkzbhk
52619135,Astonishing Executive Rental in North York Toronto,142896840,Yimin,,Willowdale East,43.7575,-79.40237,Entire home/apt,195,28,8,2022-11-27,0.61,4,301,7,
52619813,MODERN MASTERPIECE! Designers own home,104535644,Joshua,,Lawrence Park South,43.70793,-79.41265,Entire home/apt,700,29,2,2022-09-01,0.18,1,205,2,
52621278,"Newly renovated, cozy, private 1 bedroom apartment",52990884,Dianne,,High Park North,43.66048,-79.45659,Entire home/apt,67,28,3,2022-05-31,0.30,1,98,3,
52621910,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Bay Street Corridor,43.65712,-79.38638,Entire home/apt,163,28,0,,,135,84,0,
52622076,✈︎Fully-Equipped 2-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.64308,-79.38333,Entire home/apt,100,30,0,,,135,0,0,
52622305,♡Comfortable 1+1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64173,-79.38206,Entire home/apt,133,30,1,2022-03-12,0.11,135,53,1,
52622447,♡Comfortable 1+1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64499,-79.39399,Entire home/apt,100,30,0,,,135,60,0,
52622584,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Waterfront Communities-The Island,43.64406,-79.39055,Entire home/apt,133,28,0,,,135,38,0,
52622737,✈︎Fully-Equipped 1+1-BR Condo in DT Toronto✈︎,785826,Sky View,,Waterfront Communities-The Island,43.6444,-79.39157,Entire home/apt,133,30,2,2022-03-31,0.17,135,110,2,
52622845,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64393,-79.39163,Entire home/apt,116,30,2,2022-03-03,0.17,135,115,2,
52623360,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Waterfront Communities-The Island,43.64568,-79.3897,Entire home/apt,110,30,1,2022-02-28,0.11,135,104,1,
52572473,Huge private master bedroom in 1 bedroom suite,425522153,Anil,,Yonge-Eglinton,43.70916,-79.40019,Private room,40,30,3,2022-07-03,0.23,1,278,2,
52627966,Charming 3 Bedroom House - Bloor West & Geary Ave,2557100,Stephen,,Dovercourt-Wallace Emerson-Junction,43.66543,-79.4407,Entire home/apt,175,28,0,,,1,177,0,
