"id","host_id.x","price","minimum_nights","number_of_reviews","availability_365","calculated_host_listings_count","host_id.y","host_is_superhost"
2303169,11762310,600,28,4,289,1,11762310,FALSE
2316010,11827037,45,28,1,0,1,11827037,FALSE
2316147,7828359,204,30,43,309,2,7828359,TRUE
2319682,5153529,185,28,220,297,2,5153529,FALSE
2320893,10796912,160,28,31,365,1,10796912,FALSE
2329180,11897371,73,28,41,147,1,11897371,TRUE
2333145,11917344,125,180,0,310,1,11917344,FALSE
2336683,11933948,90,28,16,86,1,11933948,TRUE
2339823,11950683,87,180,4,309,1,11950683,FALSE
2356555,12033867,259,28,67,365,17,12033867,FALSE
2380048,864492,160,14,8,0,1,864492,TRUE
2413073,4455921,100,28,4,0,1,4455921,FALSE
2424754,12391900,85,365,0,0,1,12391900,FALSE
2434313,970712,89,28,144,35,1,970712,TRUE
2435178,1553458,115,28,11,67,1,1553458,TRUE
2436090,1619153,428,28,4,309,1,1619153,FALSE
2447970,4420576,69,28,98,156,1,4420576,TRUE
2455032,12554543,100,28,3,62,1,12554543,FALSE
2455129,672978,168,28,431,286,2,672978,FALSE
2459983,12578668,99,28,31,0,1,12578668,FALSE
2468156,2112835,89,28,8,154,1,2112835,FALSE
2478644,4288804,143,28,106,46,1,4288804,FALSE
2483875,12621649,75,28,17,40,1,12621649,TRUE
2488787,12737510,90,180,5,363,1,12737510,FALSE
2494635,12767936,246,4,10,20,1,12767936,FALSE
2516271,12028383,246,6,163,259,1,12028383,FALSE
2524564,32044025,61,30,16,365,21,32044025,TRUE
2531934,12966791,598,28,34,303,1,12966791,TRUE
2536696,9956811,148,30,5,219,11,9956811,FALSE
2536954,11341806,250,28,15,0,1,11341806,FALSE
2565203,13132884,157,28,6,0,1,13132884,FALSE
2570906,13163354,300,60,0,364,1,13163354,FALSE
2571251,13165498,39,28,17,359,6,13165498,FALSE
2576027,13191014,85,28,0,0,1,13191014,FALSE
2606989,6169934,885,30,1,310,1,6169934,FALSE
2607519,13352980,45,28,0,0,1,13352980,FALSE
2611347,694041,90,28,7,249,1,694041,FALSE
2615254,6884061,85,1,56,352,1,6884061,FALSE
2618025,9923100,79,28,104,332,11,9923100,TRUE
2641884,2356643,280,28,139,339,1,2356643,FALSE
2656116,4955655,115,28,124,88,1,4955655,FALSE
2666562,13647990,73,3,456,337,2,13647990,TRUE
2666635,11206244,100,28,14,365,23,11206244,TRUE
2684516,3982898,90,3,42,127,3,3982898,TRUE
2692019,13777341,99,28,43,352,3,13777341,TRUE
2721128,377846,50,28,96,249,10,377846,FALSE
2736265,13777341,90,28,34,245,3,13777341,TRUE
2746751,14052914,305,3,195,136,1,14052914,TRUE
2774695,653502,60,28,33,0,1,653502,FALSE
2785516,1007531,110,28,56,252,1,1007531,FALSE
2807413,3882347,99,28,8,0,1,3882347,FALSE
2811516,14275418,450,3,22,100,1,14275418,FALSE
2817835,14405518,110,3,256,362,3,14405518,TRUE
2855254,14596877,148,28,26,88,1,14596877,FALSE
2857775,4599538,290,3,3,81,1,4599538,FALSE
2863021,14634031,100,28,18,0,1,14634031,FALSE
2874229,65479,39,28,7,339,10,65479,FALSE
2881715,661347,155,28,55,0,1,661347,FALSE
2888365,14761152,225,28,59,250,11,14761152,TRUE
2893265,14787591,99,3,38,101,1,14787591,FALSE
2896482,14802715,39,28,8,0,1,14802715,FALSE
2906218,14845797,168,30,127,0,1,14845797,FALSE
2908087,7042370,128,28,4,0,1,7042370,FALSE
2916008,14893245,250,100,55,0,1,14893245,FALSE
2918244,1112766,200,28,85,354,4,1112766,TRUE
2919002,5364163,75,90,54,272,2,5364163,TRUE
2930411,14963497,250,28,7,364,2,14963497,FALSE
2939447,15008341,475,28,0,0,1,15008341,FALSE
2947976,15049277,79,28,0,0,1,15049277,FALSE
2969361,15150765,165,2,90,18,1,15150765,TRUE
2979246,15195735,300,28,3,0,1,15195735,FALSE
2988248,14761152,375,28,80,309,11,14761152,TRUE
2988568,14761152,230,28,60,327,11,14761152,TRUE
2993831,14761152,175,28,85,145,11,14761152,TRUE
2997407,14761152,225,28,88,300,11,14761152,TRUE
2997565,14761152,99,28,37,220,11,14761152,TRUE
3001121,14761152,135,28,55,326,11,14761152,TRUE
3001761,14761152,95,28,49,331,11,14761152,TRUE
3004964,3676503,515,28,2,0,1,3676503,FALSE
3005200,651297,54,28,4,0,1,651297,FALSE
3031632,4186924,32,28,2,0,1,4186924,FALSE
3031674,11627383,350,7,10,309,1,11627383,FALSE
3032302,15445037,79,28,22,0,1,15445037,FALSE
3041513,15486990,40,28,7,96,2,15486990,FALSE
3105895,4634401,40,28,0,0,1,4634401,FALSE
3109354,7660935,65,28,0,0,1,7660935,FALSE
3131003,15899786,250,28,1,0,1,15899786,FALSE
3139014,4885902,102,60,61,280,2,4885902,FALSE
3152405,15999017,120,28,5,0,1,15999017,FALSE
3162666,16044016,160,3,25,110,1,16044016,FALSE
3177589,3547192,110,31,8,292,7,3547192,FALSE
3188770,10655133,40,28,1,0,1,10655133,FALSE
3197148,16204072,120,28,2,0,1,16204072,FALSE
3197598,2475973,95,28,5,0,1,2475973,FALSE
3213607,8024143,399,28,29,88,1,8024143,FALSE
3229123,11206244,178,30,29,278,23,11206244,TRUE
3229169,9330404,80,28,72,0,1,9330404,FALSE
3246128,16420646,60,28,5,0,1,16420646,FALSE
3250197,15856580,150,28,1,0,1,15856580,FALSE
3257102,10989200,102,28,0,0,1,10989200,FALSE
3264728,1170217,105,28,26,312,2,1170217,TRUE
3269244,735228,150,21,118,250,1,735228,TRUE
3270314,1200367,182,28,58,251,4,1200367,FALSE
3271579,2224739,550,5,108,171,1,2224739,TRUE
3282729,16590728,158,28,238,31,4,16590728,TRUE
3307887,1948752,269,30,177,364,2,1948752,TRUE
3312043,1485530,395,7,10,0,1,1485530,FALSE
3315154,698055,135,28,445,343,1,698055,TRUE
3330285,6029682,75,28,3,0,1,6029682,FALSE
3339294,13066292,123,28,162,365,7,13066292,FALSE
3344276,9966270,78,28,1,0,1,9966270,FALSE
3348401,16898206,300,28,7,340,1,16898206,FALSE
3351289,11390175,150,21,4,88,1,11390175,FALSE
3364091,16972910,190,40,9,0,1,16972910,FALSE
3364609,10088357,80,30,67,309,1,10088357,FALSE
3369760,17001223,279,28,24,0,1,17001223,FALSE
3370325,3216602,60,28,2,0,1,3216602,FALSE
3377125,6440835,99,28,15,0,1,6440835,FALSE
3391850,506958,175,28,0,0,1,506958,FALSE
3400213,6301545,121,28,37,98,1,6301545,FALSE
3402103,16876776,225,28,0,0,1,16876776,FALSE
3402217,17158005,50,28,17,307,1,17158005,FALSE
3405698,17176558,150,240,0,365,1,17176558,FALSE
3425643,17267972,125,29,37,286,2,17267972,TRUE
3433957,17306531,110,30,3,88,1,17306531,FALSE
3434451,1700487,100,28,0,0,1,1700487,FALSE
3441579,6023215,225,28,26,318,1,6023215,FALSE
3442271,9666005,124,29,64,147,2,9666005,TRUE
3463009,17448806,58,28,73,0,1,17448806,FALSE
3477991,17518117,1000,28,0,0,1,17518117,FALSE
3494354,13605224,256,30,0,365,1,13605224,FALSE
3495606,924567,200,28,1,0,1,924567,FALSE
3520729,12553512,96,28,0,0,1,12553512,FALSE
3520988,17729844,136,28,0,0,1,17729844,FALSE
3522014,17716543,400,5,0,18,1,17716543,FALSE
3528547,17764429,214,28,118,257,2,17764429,FALSE
3540655,815455,123,28,2,0,1,815455,FALSE
3544086,17841499,95,30,65,308,1,17841499,TRUE
3544358,17740308,150,28,0,0,1,17740308,FALSE
3550186,17871341,109,28,2,0,1,17871341,FALSE
3553783,17891852,150,28,0,365,1,17891852,FALSE
3554364,17896417,200,5,34,0,1,17896417,FALSE
3558614,6413972,200,28,34,0,1,6413972,FALSE
3573595,146693,77,28,18,0,1,146693,FALSE
